Word                                              Count                                             
----------------------------------------------------------------------------------------------------
_                                                 1                                                 
a                                                 1                                                 
algorithm                                         1                                                 
asecond                                           1                                                 
auto                                              3                                                 
b                                                 1                                                 
bsecond                                           1                                                 
c                                                 3                                                 
char                                              2                                                 
const                                             5                                                 
count                                             5                                                 
endl                                              6                                                 
file                                              12                                                
for                                               3                                                 
fstream                                           1                                                 
if                                                1                                                 
include                                           8                                                 
int                                               3                                                 
iomanip                                           1                                                 
iostream                                          1                                                 
isalnumc                                          1                                                 
left                                              4                                                 
map                                               1                                                 
namespace                                         1                                                 
pairstring                                        2                                                 
return                                            3                                                 
setfill                                           4                                                 
setw100                                           2                                                 
setw50                                            8                                                 
sortedalphabetically                              2                                                 
sortedalphabeticallyend                           1                                                 
sortedalphabeticallypush_backword                 1                                                 
sortedbyappearance                                1                                                 
sortedbyappearanceend                             1                                                 
sortedbyappearancewordcountbegin                  1                                                 
sortsortedalphabeticallybegin                     1                                                 
sortsortedbyappearancebegin                       1                                                 
std                                               1                                                 
string                                            1                                                 
tolowerc                                          1                                                 
transformwordbegin                                1                                                 
using                                             1                                                 
vector                                            1                                                 
vectorpairstring                                  1                                                 
vectorstring                                      1                                                 
void                                              3                                                 
while                                             1                                                 
word                                              8                                                 
wordbegin                                         1                                                 
wordcount                                         1                                                 
wordcountend                                      1                                                 
wordcountercountifstream                          1                                                 
wordcounterh                                      1                                                 
wordcountersortandprintalphabeticallyofstream     1                                                 
wordcountersortandprintbyappearanceofstream       1                                                 
wordcountword                                     2                                                 
wordempty                                         1                                                 
wordend                                           3                                                 
worderaseremove_ifwordbegin                       1                                                 
