Word                                              Count                                             
----------------------------------------------------------------------------------------------------
file                                              12                                                
setw50                                            8                                                 
include                                           8                                                 
word                                              8                                                 
endl                                              6                                                 
const                                             5                                                 
count                                             5                                                 
setfill                                           4                                                 
left                                              4                                                 
c                                                 3                                                 
int                                               3                                                 
return                                            3                                                 
auto                                              3                                                 
for                                               3                                                 
void                                              3                                                 
wordend                                           3                                                 
setw100                                           2                                                 
sortedalphabetically                              2                                                 
char                                              2                                                 
pairstring                                        2                                                 
wordcountword                                     2                                                 
bsecond                                           1                                                 
_                                                 1                                                 
fstream                                           1                                                 
if                                                1                                                 
iomanip                                           1                                                 
iostream                                          1                                                 
isalnumc                                          1                                                 
namespace                                         1                                                 
map                                               1                                                 
sortedalphabeticallyend                           1                                                 
sortedalphabeticallypush_backword                 1                                                 
sortedbyappearance                                1                                                 
sortedbyappearanceend                             1                                                 
sortedbyappearancewordcountbegin                  1                                                 
sortsortedalphabeticallybegin                     1                                                 
sortsortedbyappearancebegin                       1                                                 
std                                               1                                                 
string                                            1                                                 
tolowerc                                          1                                                 
transformwordbegin                                1                                                 
using                                             1                                                 
vector                                            1                                                 
vectorpairstring                                  1                                                 
vectorstring                                      1                                                 
a                                                 1                                                 
while                                             1                                                 
algorithm                                         1                                                 
wordbegin                                         1                                                 
wordcount                                         1                                                 
wordcountend                                      1                                                 
wordcountercountifstream                          1                                                 
wordcounterh                                      1                                                 
wordcountersortandprintalphabeticallyofstream     1                                                 
wordcountersortandprintbyappearanceofstream       1                                                 
asecond                                           1                                                 
wordempty                                         1                                                 
b                                                 1                                                 
worderaseremove_ifwordbegin                       1                                                 
